# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Faecal Coli,,,,,,,,
,,,,,,,,Conductivity,B.O.D.,,,,,Total Coli form,Nitrate-N + Nitrite-,,,,,
,,,"Temperature ⁰C ",,"pH ",,,,,,form,,,,,,,,,
Station,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(μmhos/cm),(mg/l),,,,,(MPN/100ml),,N (mg/l),,,,
,"Station Name ","State Name ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(MPN/100ml),,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max,,,,
"2257 ",GROUND WATER FROM DHUBRI DISTRICT,"ASSAM ","24.0 ","32.0 ","6.5 ","7.7 ","427 ","454 ","0.6 ","1.0 ","2 ","2 ","2 ","2 ","0.20 ",2.70,,,,
,"(COLLEGE NAGAR ), ASSAM",,,,,,,,,,,,,,,,,,,
"2258 ",GROUND WATER FROM GOALPARA DIST.,"ASSAM ","26.0 ","30.0 ","6.4 ","6.6 ","244 ","246 ","1.1 ","2.2 ","2 ","2 ","2 ","2 ","2.40 ",3.20,,,,
,"(GOALPARA COLLEGE ), ASSAM",,,,,,,,,,,,,,,,,,,
"2259 ","GROUND WATER FROM DIPHU (GOVT. COLLEGE),","ASSAM ","27.0 ","27.0 ","7.1 ","7.2 ","751 ","837 ","0.8 ","1.0 ","2 ","2 ","2 ","2 ","0.60 ",1.00,,,,
,ASSAM,,,,,,,,,,,,,,,,,,,
"2260 ","GROUND WATER FROM HAMREN, ASSAM ","ASSAM ","26.0 ","29.0 ","6.0 ","6.2 ","94 ","104 ","1.4 ","1.6 ","2 ","2 ","2 ","2 ","0.40 ",0.70,,,,
"2261 ","GROUND WATER FROM HAFLONG, ASSAM ","ASSAM ","20.0 ","24.0 ","6.1 ","7.2 ","90 ","122 ","0.8 ","1.0 ","2 ","2 ","2 ","2 ","0.70 ",2.10,,,,
"2262 ","GROUND WATER FROM KARIMGANJ (COLLEGE),","ASSAM ","25.0 ","25.0 ","5.7 ","7.1 ","84 ","149 ","1.0 ","1.2 ","2 ","2 ","2 ","2 ","0.60 ",1.70,,,,
,ASSAM,,,,,,,,,,,,,,,,,,,
"2263 ",GROUND WATER FROM HIALAKANDI (NEAR ASTC,"ASSAM ","25.0 ","25.0 ","7.4 ","7.4 ","154 ","198 ","0.6 ","1.3 ","2 ","2 ","2 ","2 ","0.50 ",2.70,,,,
,"BUS STAND ), ASSAM",,,,,,,,,,,,,,,,,,,
"2264 ",GROUND WATER IN PANCHGRAM MARKET NEAR,"ASSAM ","25.0 ","25.0 ","6.6 ","6.7 ","153 ","171 ","1.4 ","3.1 ","2 ","2 ","2 ","2 ","0.70 ",1.70,,,,
,"CACHAR PAPER MILL, ASSAM",,,,,,,,,,,,,,,,,,,
"3761 ","BISWANATH CHARIALI TOWN ","ASSAM ","26.0 ","26.0 ","7.1 ","7.1 ","177 ","177 ","1.1 ","1.1 ","2 ","2 ","2 ","2 ","1.70 ",1.70,,,,
"3762 ","MUNICIPAL WASTE PROCESSING FACILITY,","ASSAM ","27.0 ","27.0 ","6.3 ","6.3 ","384 ","384 ","3.0 ","3.0 ","2 ","2 ","2 ","2 ","1.60 ",1.60,,,,
,"MORABHARLI, TEZPUR",,,,,,,,,,,,,,,,,,,
"3766 ","MANGALDOI TOWN ","ASSAM ","27.0 ","27.0 ","6.4 ","6.4 ","287 ","287 ","2.8 ","2.8 ","2 ","2 ","2 ","2 ","2.40 ",2.40,,,,
"3770 ",GROUND WATER NEAR GARMUR RECREATION,"ASSAM ","28.0 ","28.0 ","7.2 ","7.2 ","157 ","157 ","1.8 ","1.8 ","2 ","2 ","2 ","2 ","0.80 ",0.80,,,,
,"GROUND, JORHAT",,,,,,,,,,,,,,,,,,,
"3771 ",GROUND WATER FROM TITABAT URBAN WATER,"ASSAM ","27.0 ","27.0 ","7.8 ","7.8 ","277 ","277 ","1.7 ","1.7 ","2 ","2 ","2 ","2 ","1.00 ",1.00,,,,
,"SUPPLY, TITABAR",,,,,,,,,,,,,,,,,,,
"3779 ","GROUND WATER FROM GARMUR, MAJULI ","ASSAM ","27.0 ","27.0 ","7.5 ","7.5 ","391 ","391 ","1.9 ","1.9 ","2 ","2 ","2 ","2 ","0.20 ",0.20,,,,
"3790 ","GOGAMUKH PUBLIC WATER SUPPLY SCHEME,","ASSAM ","22.0 ","22.0 ","7.5 ","7.5 ","180 ","180 ","2.2 ","2.2 ","2 ","2 ","2 ","2 ","1.40 ",1.40,,,,
,"GOGAMUKH, DHEMAJI",,,,,,,,,,,,,,,,,,,
