# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total Coli,,Faecal Coli
,,,Temperature,,,Dissolved,,,,Conductivity,,,,Nitrate-N +,,,,
"4393 ",,"ANDHRA PRADESH ","24.0 ","26.0 ","3.6 ","4.2 ","7.2 ","7.4 ","2870 ","3230 ","0.7 ","2.6 ","3.60 ","9.50 ","2 ","2 ","2 ",2
,"UKKAYAPALLI (V), KADAPA (M) ",,,,,,,,,,,,,,,,,
,BOREWELL AT APLLC OFFICE,,,,,,,,,,,,,,,,,
,INDUSTRIAL ESTATE GROWTH,,,,,,,,,,,,,,,,,
4394,,"ANDHRA PRADESH ","25.0 ","26.0 ","4.2 ","4.4 ","6.4 ","7.0 ","2370 ","3470 ","0.5 ","1.5 ","2.10 ","19.60 ","2 ","2 ","2 ",2
,"CENTRE, THUMAKUNTA,",,,,,,,,,,,,,,,,,
,HINDUPUR (M),,,,,,,,,,,,,,,,,
,BOREWELL AT APLLC OFFICE,,,,,,,,,,,,,,,,,
4395,"INDUSTRIAL ESTATE,","ANDHRA PRADESH ","21.0 ","25.0 ","4.2 ","4.4 ","6.7 ","7.2 ","2240 ","2820 ","0.7 ","0.7 ","1.90 ","2.70 ","2 ","2 ","2 ",2
,ANANTAPURAM (M),,,,,,,,,,,,,,,,,

,,,TABLE - 2: WATER QUALITY OF GROUND WATER IN ASSAM - 2019,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total Coli,Faecal Coli,
,,,Temperature,,,Dissolved,,,Conductivity,,,,,Nitrate-N +,,,,
,,,,,,,,"pH ",,,,"B.O.D. ",,,form,,form,
Station,,,,,,,,,,,,,,,,,,
,,,⁰C,,,"O2 ",,,,"(μmhos/cm) ",,,Nitrite-N (mg/l),,,,,
,"Station Name ",State Name,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(MPN/100ml),,(MPN/100ml),
"Code ",,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max
,"GROUND WATER AT DIGBOI,",,,,,,,,,,,,,,,,,
"1533 ",,"ASSAM ","19.0 ","26.0 ","0.0 ","0.0 ","6.5 ","6.8 ","145 ","452 ","1.7 ","2.6 ","0.80 ","0.80 ","2 ","2 ","2 ",2
,"TINSUKIA DISTT., ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER AT KARBI,,,,,,,,,,,,,,,,,
