# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024,,,,,,,,,,,,,,,,,,,,,
,,,Temperature,,,,,Conductivity,,,,NitrateN +,Fecal Coliform,,Total Coliform,,,Total Dissolved,,Fluoride,,,
,,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,,,Arsenic (mg/L),
,,,"(°C) ",,,,,(μmho/cm),,,NitriteN(mg/L),,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,(mg/L),,,
"STN Code ","Monitoring Location ",State Name,,,,,,,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
"BIS IS 10500 : 2012 Drinking Water -Specification ",,,"- ",,,"6.5-8.5 ","- ",,"- ",,,"< 45 mg/L ","- ",,"- ",,,< 2000 mg/L,"< 1.5 mg/L ",,,< 0.05 mg/L,
,"(V), KADAPA (M) ",,,,,,,,,,,,,,,,,,,,,,
,BOREWELL AT APIIC OFFICE INDUSTRIAL,,,,,,,,,,,,,,,,,,,,,,
4394,"ESTATE GROWTH CENTRE, THUMAKUNTA","ANDHRA PRADESH ","20 ","23 ","6.9 ","7.4 ","3964 ","4050 ","1 ","1.5 ","1.7 ","4.25 ","1.8 ","1.8 ","6 ","10 ","2262 ","2610 ","0.3 ",1.32,,,
,"(V), HINDUPUR (M)",,,,,,,,,,,,,,,,,,,,,,
,BOREWELL AT APIIC OFFICE INDUSTRIAL,,,,,,,,,,,,,,,,,,,,,,
"4395 ",,"ANDHRA PRADESH ","20 ","22 ","7.1 ","7.1 ","2710 ","3870 ","1 ","1.2 ","5.02 ","12.2 ","1.8 ","2 ","2 ","12 ","1640 ","2110 ","0.3 ",1.26,,,
,"ESTATE, ANANTAPUR(M) ",,,,,,,,,,,,,,,,,,,,,,
,,Water Quality Data of Ground Water in Assam Monitored under NWMP-2024,,,,,,,,,,,,,,,,,,,,,

,,,Temperature,,,,Conductivity,,,,,NitrateN +,Fecal Coliform,,Total Coliform,,Total Dissolved,,,Fluoride,,,
,,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,Arsenic (mg/L),,,
,,,"(°C) ",,,,,(μmho/cm),,,NitriteN(mg/L),,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,(mg/L),,,
"STN Code ","Monitoring Location ",State Name,,,,,,,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max Min Max,,,
"BIS IS 10500 : 2012 Drinking Water -Specification ",,,"- ",,,"6.5-8.5 ","- ",,"- ",,,"< 45 mg/L ","- ",,"- ",,,< 2000 mg/L,"< 1.5 mg/L ",< 0.05 mg/L,,,
,,,Temperature,,,,Conductivity,,,,,NitrateN +,Fecal Coliform,,Total Coliform,,Total Dissolved,,,Fluoride,,,
,,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,Arsenic (mg/L),,,
,,,"(°C) ",,,,,"(μmho/cm) ",,,NitriteN(mg/L),,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,"(mg/L) ",,,
STN Code,"Monitoring Location ",State Name,,,,,,,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max Min Max,,,
"BIS IS 10500 : 2012 Drinking Water -Specification ",,,"- ",,,"6.5-8.5 ","- ",,"- ",,,"< 45 mg/L ","- ",,"- ",,,"< 2000 mg/L ","< 1.5 mg/L ",< 0.05 mg/L,,,
,"GROUND WATER AT DIGBOI, TINSUKIA",,,,,,,,,,,,,,,,,,,,,,
"1533 ",,"ASSAM ","18 ","18 ","7 ","7 ","232 ","232 ","2 ","2 ","0.8 ","0.8 ","1.8 ","1.8 ","1.8 ","1.8 ","152 ","152 ","0.26 ",0.26,,,
,"DISTT., ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER AT KARBI ANGLONG,,,,,,,,,,,,,,,,,,,,,,
"1534 ",,"ASSAM ","25 ","25 ","7 ","7 ","242 ","242 ","1.9 ","1.9 ","0.8 ","0.8 ","1.8 ","1.8 ","1.8 ","1.8 ","158 ","158 ","0.31 ",0.31,,,
,"TOWN, ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER AT SIVASAGAR GOVT,,,,,,,,,,,,,,,,,,,,,,
1535,"ME SCHOOL WARD 6, RED CROSS ROAD ,","ASSAM ","23 ","26 ","7.5 ","7.8 ","284 ","318 ","1.8 ","2 ","0.9 ","1.1 ","1.8 ","1.8 ","1.8 ","1.8 ","180 ","208 ","0.31 ",0.33,,,
,ASSAM,,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER FROM NEAR BPMS H.S.,,,,,,,,,,,,,,,,,,,,,,
"1536 ",,"ASSAM ","25 ","26 ","7 ","7.4 ","345 ","366 ","1.7 ","2.1 ","0.9 ","1 ","1.8 ","1.8 ","1.8 ","1.8 ","232 ","234 ","0.26 ",0.28,,,
,"SCHOOL SONARI TOWN DIST CHARAIDEO ",,,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER FROM JORHAT TOWN,",,,,,,,,,,,,,,,,,,,,,,
"1537 ",,"ASSAM ","20 ","24 ","7 ","7.2 ","294 ","302 ","1.9 ","2.2 ","0.9 ","1.1 ","1.8 ","1.8 ","1.8 ","1.8 ","194 ","202 ","0.3 ",0.31,,,
,"ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER FROM SILCHAR TOWN ,",,,,,,,,,,,,,,,,,,,,,,
"1538 ",,"ASSAM ","23 ","24 ","6.4 ","6.8 ","138 ","226 ","2.4 ","2.9 ","0.8 ","1.1 ","1.8 ","1.8 ","1.8 ","1.8 ","98 ","128 ","0.28 ",0.31,,,
,"ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER FROM BARPETA TOWN,",,,,,,,,,,,,,,,,,,,,,,
"1539 ",,"ASSAM ","26 ","26 ","7.1 ","7.2 ","218 ","250 ","1.9 ","2.2 ","0.9 ","0.9 ","1.8 ","1.8 ","1.8 ","1.8 ","148 ","172 ","0.28 ",0.33,,,
,"ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER FROM BONAIGAON,,,,,,,,,,,,,,,,,,,,,,
"1540 ",,"ASSAM ","29 ","30 ","7 ","7.2 ","302 ","302 ","1.8 ","2 ","0.9 ","1.2 ","1.8 ","1.8 ","1.8 ","1.8 ","198 ","206 ","0.3 ",0.32,,,
,"TOWN, ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER FROM NOONMATI,,,,,,,,,,,,,,,,,,,,,,
"1541 ",,"ASSAM ","24 ","26 ","6.9 ","7.2 ","328 ","368 ","2 ","2.2 ","1 ","1.2 ","1.8 ","1.8 ","1.8 ","1.8 ","220 ","228 ","0.27 ",0.29,,,
,"GUWAHATI, ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER FROM SIJUBARI,,,,,,,,,,,,,,,,,,,,,,
1542,"MAZAR, NATBOMA HATIGAON,","ASSAM ","23 ","28 ","6.6 ","7.2 ","360 ","386 ","2.2 ","2.2 ","0.8 ","1 ","1.8 ","1.8 ","1.8 ","1.8 ","242 ","268 ","0.26 ",0.29,,,
,GUWAHATI,,,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER FROM LEDO,",,,,,,,,,,,,,,,,,,,,,,
"2243 ",,"ASSAM ","18 ","18 ","7.6 ","7.6 ","240 ","240 ","2.2 ","2.2 ","1 ","1 ","1.8 ","1.8 ","1.8 ","1.8 ","166 ","166 ","0.28 ",0.28,,,
,"MARGHERITA, ASSAM ",,,,,,,,,,,,,,,,,,,,,,
"2244 ","GROUND WATER FROM NAZIRA, ASSAM ","ASSAM ","25 ","26 ","7.1 ","7.5 ","330 ","340 ","1.8 ","2 ","0.9 ","0.9 ","1.8 ","1.8 ","1.8 ","1.8 ","226 ","234 ","0.28 ",0.31,,,
,GROUND WATER FROM NUMALIGARH,,,,,,,,,,,,,,,,,,,,,,
"2245 ",,"ASSAM ","22 ","25 ","6.9 ","7.5 ","186 ","230 ","2 ","2.4 ","0.8 ","0.9 ","1.8 ","1.8 ","1.8 ","1.8 ","128 ","150 ","0.27 ",0.34,,,
,"(NEAR NRL TE LABOR COLONY), ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER FROM SEMENCHAPARI,",,,,,,,,,,,,,,,,,,,,,,
"2246 ",,"ASSAM ","25 ","25 ","7.1 ","7.1 ","292 ","292 ","2.2 ","2.2 ","1 ","1 ","1.8 ","1.8 ","1.8 ","1.8 ","192 ","192 ","0.31 ",0.31,,,
,"ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER FROM SILAPATHAR,",,,,,,,,,,,,,,,,,,,,,,
"2247 ",,"ASSAM ","26 ","26 ","7 ","7.2 ","262 ","270 ","2 ","2.4 ","1 ","1.4 ","1.8 ","1.8 ","1.8 ","1.8 ","160 ","168 ","0.3 ",0.3,,,
,"ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER FROM LAKHIMPUR,,,,,,,,,,,,,,,,,,,,,,
"2248 ",,"ASSAM ","25 ","25 ","7.2 ","7.3 ","240 ","270 ","2 ","2.3 ","0.8 ","0.8 ","1.8 ","1.8 ","1.8 ","1.8 ","166 ","170 ","0.28 ",0.32,,,
,"TOWN, ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER FROM TEZPUR,,,,,,,,,,,,,,,,,,,,,,
"2249 ",,"ASSAM ","26 ","26 ","6.8 ","7 ","254 ","260 ","2.1 ","2.2 ","0.9 ","1 ","1.8 ","1.8 ","1.8 ","1.8 ","168 ","174 ","0.33 ",0.33,,,
,"(MISSION CHARIALI), ASSAM ",,,,,,,,,,,,,,,,,,,,,,
,GROUND WATER FROM NAGAON,,,,,,,,,,,,,,,,,,,,,,
