# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,Nitrate-N +,,,,
,,,Temperature,,,,Conductivity,,,B.O.D.,,,Faecal Coli form,,Total Coli form,
,,,,,,"pH ",,,,,,Nitrite-N,,,,
"2244 ","GROUND WATER FROM NAZIRA, ASSAM ","ASSAM ","22 ","25 ","6.7 ","7.8 ","246 ","254 ","0.9 ","1.5 ","0.2 ","2.1 ","2 ","2 ","2 ",2
,GROUND WATER FROM NUMALIGARH (NEAR,,,,,,,,,,,,,,,
"2245 ",,"ASSAM ","27 ","28 ","5.6 ","5.7 ","72 ","198 ","1.7 ","2.2 ","0.2 ","0.4 ","2 ","2 ","2 ",2
,"NRL TE LABOR COLONY), ASSAM ",,,,,,,,,,,,,,,
"2246 ","GROUND WATER FROM SEMENCHAPARI, ASSAM ","ASSAM ","15 ","22 ","6.9 ","7.0 ","110 ","152 ","1.0 ","1.3 ","0.3 ","0.7 ","2 ","2 ","2 ",2
"2247 ","GROUND WATER FROM SILAPATHAR, ASSAM ","ASSAM ","15 ","24 ","6.3 ","6.4 ","234 ","250 ","4.6 ","4.8 ","0.6 ","1.9 ","2 ","2 ","2 ",2
,"GROUND WATER FROM LAKHIMPUR TOWN,",,,,,,,,,,,,,,,
"2248 ",,"ASSAM ","26 ","26 ","5.8 ","6.1 ","124 ","242 ","1.6 ","3.4 ","0.6 ","9.2 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,
,GROUND WATER FROM TEZPUR (MISSION,,,,,,,,,,,,,,,
"2249 ",,"ASSAM ","25 ","25 ","6.6 ","6.7 ","179 ","208 ","1.0 ","1.8 ","0.7 ","1.3 ","2 ","2 ","2 ",2
,"CHARIALI), ASSAM ",,,,,,,,,,,,,,,
,"GROUND WATER FROM NAGAON (PANIGAON),",,,,,,,,,,,,,,,
"2250 ",,"ASSAM ","26 ","28 ","6.3 ","7.1 ","256 ","287 ","1.4 ","2.0 ","0.6 ","0.7 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,
,GROUND WATER FROM JAGIROAD NEAR HPC,,,,,,,,,,,,,,,
"2251 ",,"ASSAM ","26 ","30 ","5.7 ","5.8 ","271 ","685 ","2.7 ","4.0 ","0.6 ","5.8 ","2 ","2 ","2 ",2
,"EFFLUENT DISCHARGE POINT, ASSAM ",,,,,,,,,,,,,,,
,GROUND WATER NEAR MSW DUMPING SITE AT,,,,,,,,,,,,,,,
"2252 ",,"ASSAM ","26 ","29 ","6.6 ","7.0 ","169 ","170 ","1.4 ","1.9 ","0.2 ","0.4 ","2 ","2 ","2 ",2
,"GARCHUK-GUWAHATI, ASSAM ",,,,,,,,,,,,,,,
"2253 ","GROUND WATER FROM NALBARI, ASSAM ","ASSAM ","29 ","30 ","6.3 ","6.8 ","188 ","195 ","1.0 ","1.5 ","0.2 ","2.3 ","2 ","2 ","2 ",2

,,,,,,,,,,,,Nitrate-N +,,,,
,,,Temperature,,,,Conductivity,,,B.O.D.,,,Faecal Coli form,,Total Coli form,
,,,,,,"pH ",,,,,,Nitrite-N,,,,
Station,,,,,,,,,,,,,,,,
,,,"⁰C ",,,,(μmhos/cm),,,(mg/l),,,(MPN/100ml),,(MPN/100ml),
,"Station Name ",State Name,,,,,,,,,,,,,,
,,,,,,,,,,,,(mg/l),,,,
"Code ",,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max
,GROUND WATER FROM BARPETA ROAD(RLY,,,,,,,,,,,,,,,
"2254 ",,"ASSAM ","29 ","29 ","7.4 ","7.8 ","362 ","480 ","1.1 ","1.4 ","0.6 ","0.7 ","2 ","2 ","2 ",2
,"STATION), ASSAM ",,,,,,,,,,,,,,,
,"GROUND WATER NEAR BPRL, DHALIGAON,",,,,,,,,,,,,,,,
"2255 ",,"ASSAM ","25 ","30 ","7.2 ","7.5 ","80 ","140 ","1.2 ","1.2 ","0.2 ","4.1 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,
,GROUND WATER FROM KOKRAJHAR DISTRICT,,,,,,,,,,,,,,,
"2256 ",,"ASSAM ","29 ","29 ","6.1 ","6.8 ","101 ","336 ","1.2 ","1.2 ","0.1 ","0.6 ","2 ","2 ","2 ",2
,"(HS SCHOOL ), ASSAM ",,,,,,,,,,,,,,,
,GROUND WATER FROM DHUBRI DISTRICT,,,,,,,,,,,,,,,
"2257 ",,"ASSAM ","30 ","32 ","6.7 ","6.8 ","330 ","422 ","1.3 ","1.6 ","0.3 ","0.5 ","2 ","2 ","2 ",2
,"(COLLEGE NAGAR ), ASSAM ",,,,,,,,,,,,,,,
,GROUND WATER FROM GOALPARA DIST.,,,,,,,,,,,,,,,
"2258 ",,"ASSAM ","28 ","29 ","6.6 ","7.2 ","324 ","333 ","1.3 ","1.8 ","0.3 ","3.3 ","2 ","2 ","2 ",2
,"(GOALPARA COLLEGE ), ASSAM ",,,,,,,,,,,,,,,
,"GROUND WATER FROM DIPHU (GOVT. COLLEGE),",,,,,,,,,,,,,,,
"2259 ",,"ASSAM ","27 ","27 ","6.9 ","7.0 ","716 ","785 ","2.0 ","2.0 ","0.3 ","0.5 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,
"2260 ","GROUND WATER FROM HAMREN, ASSAM ","ASSAM ","28 ","28 ","6.8 ","6.9 ","33 ","265 ","1.5 ","2.1 ","0.2 ","0.7 ","2 ","2 ","2 ",2
"2261 ","GROUND WATER FROM HAFLONG, ASSAM ","ASSAM ","21 ","23 ","5.7 ","7.3 ","120 ","120 ","1.0 ","1.4 ","0.1 ","0.1 ","2 ","2 ","2 ",2
,"GROUND WATER FROM KARIMGANJ (COLLEGE),",,,,,,,,,,,,,,,
"2262 ",,"ASSAM ","24 ","24 ","5.7 ","6.8 ","120 ","138 ","1.0 ","1.0 ","0.3 ","0.6 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,
,GROUND WATER FROM HIALAKANDI (NEAR ASTC,,,,,,,,,,,,,,,
"2263 ",,"ASSAM ","24 ","25 ","6.6 ","7.3 ","192 ","192 ","1.0 ","1.2 ","0.3 ","0.4 ","2 ","2 ","2 ",2
,"BUS STAND ), ASSAM ",,,,,,,,,,,,,,,
,GROUND WATER IN PANCHGRAM MARKET NEAR,,,,,,,,,,,,,,,
"2264 ",,"ASSAM ","24 ","25 ","6.6 ","7.2 ","142 ","162 ","4.0 ","4.8 ","0.3 ","1.7 ","2 ","2 ","2 ",2
,"CACHAR PAPER MILL, ASSAM ",,,,,,,,,,,,,,,
"3761 ","BISWANATH CHARIALI TOWN ","ASSAM ","25 ","25 ","6.4 ","7.2 ","181 ","258 ","1.1 ","2.4 ","0.1 ","0.5 ","2 ","2 ","2 ",2
,"MUNICIPAL WASTE PROCESSING FACILITY,",,,,,,,,,,,,,,,
"3762 ",,"ASSAM ","26 ","26 ","6.5 ","6.7 ","260 ","370 ","1.4 ","1.6 ","0.6 ","2.3 ","2 ","2 ","2 ",2
,"MORABHARLI, TEZPUR ",,,,,,,,,,,,,,,
"3766 ","MANGALDOI TOWN ","ASSAM ","24 ","30 ","6.3 ","7.3 ","113 ","159 ","1.5 ","2.1 ","0.8 ","1.0 ","2 ","2 ","2 ",2
,GROUND WATER NEAR GARMUR RECREATION,,,,,,,,,,,,,,,
"3770 ",,"ASSAM ","27 ","29 ","6.8 ","7.6 ","226 ","227 ","1.7 ","2.5 ","0.1 ","4.7 ","2 ","2 ","2 ",2
,"GROUND, JORHAT ",,,,,,,,,,,,,,,
,GROUND WATER FROM TITABAR URBAN WATER,,,,,,,,,,,,,,,
"3771 ",,"ASSAM ","26 ","28 ","7.2 ","7.6 ","316 ","316 ","1.8 ","2.3 ","0.3 ","2.1 ","2 ","2 ","2 ",2
,"SUPPLY, TITABAR ",,,,,,,,,,,,,,,
"3779 ","GROUND WATER FROM GARMUR, MAJULI ","ASSAM ","24 ","28 ","5.7 ","7.5 ","165 ","297 ","1.6 ","1.8 ","0.4 ","2.4 ","2 ","2 ","2 ",2
,"GOGAMUKH PUBLIC WATER SUPPLY SCHEME,",,,,,,,,,,,,,,,
"3790 ",,"ASSAM ","15 ","23 ","5.9 ","6.7 ","151 ","265 ","1.1 ","1.8 ","0.8 ","1.0 ","2 ","2 ","2 ",2
,"GOGAMUKH, DHEMAJI ",,,,,,,,,,,,,,,
,"TUBE WELL AT R/O SRI TANKESWAR DAS,",,,,,,,,,,,,,,,
3793,RUPJYOTI COLONY (NAGABALI) MUNICIPALITY,"ASSAM ","27 ","27 ","5.6 ","7.1 ","157 ","458 ","2.4 ","5.9 ","0.5 ","0.5 ","2 ","2 ","2 ",2
,"DUMPING SITE, GOLAGHAT",,,,,,,,,,,,,,,
,TUBE WELL AT R/O SRI ANIL BAORA AT,,,,,,,,,,,,,,,
3794,"BOSAGAON NEAR BY THE ATHKHALIA,","ASSAM ","27 ","27 ","6.9 ","7.2 ","456 ","478 ","2.0 ","14.0 ","0.4 ","0.4 ","2 ","2 ","2 ",2
,"NAMGHAR, PO: PULIKAITONI",,,,,,,,,,,,,,,

,,,,,,,,,,,,Nitrate-N +,,,,
,,,Temperature,,,,Conductivity,,,B.O.D.,,,Faecal Coli form,,Total Coli form,
,,,,,,"pH ",,,,,,Nitrite-N,,,,
Station,,,,,,,,,,,,,,,,
,,,"⁰C ",,,,,(μmhos/cm),,(mg/l),,,(MPN/100ml),,(MPN/100ml),
,"Station Name ",State Name,,,,,,,,,,,,,,
,,,,,,,,,,,,(mg/l),,,,
"Code ",,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max
,TUBE WELL OF WOKHA GORONGA GIRLS ME,,,,,,,,,,,,,,,
"3795 ",,"ASSAM ","27 ","27 ","7.3 ","7.6 ","346 ","357 ","1.7 ","1.9 ","0.3 ","0.3 ","2 ","2 ","2 ",2
,"SCHOOL, GOROUNGA TINIALI, FURKATING ",,,,,,,,,,,,,,,
,GROUND WATER FROM MEHEPUR TRENCHING,,,,,,,,,,,,,,,
"3801 ",,"ASSAM ","24 ","25 ","6.7 ","7.4 ","336 ","450 ","4.2 ","4.4 ","0.4 ","1.0 ","2 ","2 ","2 ",2
,"GROUND, MEHERPUR, CACHAR ",,,,,,,,,,,,,,,
,GROUND WATER FROM MEHEPUR NEAR A,,,,,,,,,,,,,,,
3802,CLUSTER OF NURSING HOME & DIAGNOSTIC,"ASSAM ","24 ","25 ","7.1 ","7.2 ","321 ","336 ","2.2 ","2.6 ","0.2 ","1.3 ","2 ","2 ","2 ",2
,"CENTRE, MEHERPUR, CACHAR",,,,,,,,,,,,,,,
,GROUND WATER NEAR BADARPUR INDUSTRIAL,,,,,,,,,,,,,,,
"3805 ",,"ASSAM ","24 ","25 ","6.5 ","6.7 ","164 ","168 ","2.2 ","3.2 ","0.4 ","1.3 ","2 ","2 ","2 ",2
,"AREA AT BADARPUR GHAT, KARIMGANJ ",,,,,,,,,,,,,,,
"3813 ","GROUND WATER FROM BONDA, GUWAHATI ","ASSAM ","26 ","28 ","6.2 ","6.3 ","266 ","273 ","1.4 ","2.1 ","0.8 ","1.1 ","2 ","2 ","2 ",2
,"GROUND WATER FROM KHANAPARA,",,,,,,,,,,,,,,,
"3815 ",,"ASSAM ","27 ","28 ","6.8 ","6.9 ","220 ","606 ","1.5 ","1.6 ","0.8 ","3.5 ","2 ","2 ","2 ",2
,"GUWAHATI ",,,,,,,,,,,,,,,
